1661238521.54155,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238559.02937,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238718.76496,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238725.86147,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238727.69068,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238755.25113,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238755.65438,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238756.95623,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238757.45359,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238757.75185,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
1661238762.61346,0,0,0,3.35E-05,-0.0216834,0.0015958,0.9997636
